iter	RMSE
0	0.1604623208
1	0.1604406022
2	0.1604108695
3	0.160395467
4	0.16037605
5	0.1603586964
6	0.1603312458
7	0.1603125437
8	0.1602967834
9	0.1602741701
10	0.1602564535
11	0.16023776
12	0.1602158204
13	0.1601986126
14	0.1601801949
15	0.160162536
16	0.1601428283
17	0.1601245911
18	0.1601064446
19	0.1600901271
20	0.1600735977
21	0.1600586872
22	0.1600423988
23	0.1600254845
24	0.1600070496
25	0.1599908379
26	0.1599723541
27	0.1599550509
28	0.1599353327
29	0.1599189386
30	0.1599024403
31	0.1598910958
32	0.1598717533
33	0.1598589569
34	0.1598347807
35	0.1598205281
36	0.159806564
37	0.1597884263
38	0.1597736905
39	0.1597511305
40	0.159737688
41	0.1597243715
42	0.1597090518
43	0.1596974496
44	0.1596825239
45	0.1596687102
46	0.1596548378
47	0.1596428676
48	0.1596322492
49	0.1596149557
50	0.1595977338
51	0.1595776272
52	0.1595641241
53	0.1595464364
54	0.1595260344
55	0.1595117899
56	0.1594998047
57	0.1594856982
58	0.1594697775
59	0.1594573752
60	0.1594401748
61	0.1594255908
62	0.1594127216
63	0.1594007136
64	0.1593896252
65	0.1593774941
66	0.1593642532
67	0.159353772
68	0.1593428036
69	0.1593307096
70	0.1593165
71	0.1592986037
72	0.1592849329
73	0.1592684869
74	0.1592571994
75	0.1592454254
76	0.1592384547
77	0.1592273172
78	0.1592097095
79	0.1591943677
80	0.1591817754
81	0.1591710688
82	0.1591594073
83	0.1591478166
84	0.1591396279
85	0.1591253368
86	0.1591116561
87	0.1591002469
88	0.1590865561
89	0.1590749139
90	0.1590634676
91	0.1590508961
92	0.1590416664
93	0.1590323348
94	0.1590217758
95	0.1590003667
96	0.1589822217
97	0.1589720039
98	0.1589544383
99	0.1589443454
100	0.1589340084
101	0.1589210795
102	0.1589141
103	0.1589070454
104	0.158894147
105	0.1588821532
106	0.1588725388
107	0.1588646582
108	0.1588555413
109	0.158845721
110	0.1588290988
111	0.1588201929
112	0.1588079668
113	0.1587985638
114	0.1587861963
115	0.1587658432
116	0.1587541725
117	0.1587437474
118	0.1587348355
119	0.1587239584
120	0.1587159939
121	0.1587086252
122	0.1586943261
123	0.1586867831
124	0.1586780566
125	0.1586697757
126	0.1586481371
127	0.1586395115
128	0.1586283567
129	0.1586179558
130	0.1586082748
131	0.1585997083
132	0.1585926244
133	0.158580955
134	0.1585719112
135	0.1585589361
136	0.1585498946
137	0.1585406329
138	0.1585351545
139	0.1585293057
140	0.1585161332
141	0.1585074621
142	0.1584996766
143	0.1584895891
144	0.1584839788
145	0.1584751837
146	0.1584647259
147	0.1584564901
148	0.1584421192
149	0.1584330127
150	0.158424628
151	0.1584101717
152	0.1584026378
153	0.1583946234
154	0.1583856637
155	0.1583788851
156	0.1583704126
157	0.1583601463
158	0.1583511072
159	0.1583398222
160	0.1583309581
161	0.1583196736
162	0.1583130334
163	0.1583032263
164	0.1582925582
165	0.158279974
166	0.1582709605
167	0.1582607215
168	0.1582429418
169	0.1582332593
170	0.1582239597
171	0.1582139493
172	0.158203529
173	0.1581813796
174	0.1581732758
175	0.1581636103
176	0.1581556634
177	0.1581469182
178	0.1581387802
179	0.1581314762
180	0.1581238967
181	0.158105108
182	0.15809795
183	0.1580800732
184	0.1580741399
185	0.1580644787
186	0.1580527048
187	0.1580455006
188	0.1580382345
189	0.1580336469
190	0.1580239671
191	0.1580132996
192	0.158006834
193	0.1580006405
194	0.157995623
195	0.1579869657
196	0.157976492
197	0.1579683824
198	0.1579603007
199	0.1579523261
200	0.1579425455
201	0.1579308869
202	0.1579133596
203	0.157906509
204	0.157895964
205	0.1578727804
206	0.1578629708
207	0.1578463041
208	0.1578410027
209	0.1578320637
210	0.1578241695
211	0.1578160643
212	0.1578086977
213	0.1577986545
214	0.1577900533
215	0.1577820435
216	0.157773921
217	0.157769101
218	0.1577596083
219	0.1577571233
220	0.1577449794
221	0.1577366504
222	0.1577300446
223	0.157722894
224	0.1577122412
225	0.1577033772
226	0.1576973488
227	0.15768662
228	0.1576802788
229	0.1576797527
230	0.1576689864
231	0.157660384
232	0.1576542164
233	0.1576444004
234	0.1576360235
235	0.1576288729
236	0.157625607
237	0.1576056677
238	0.1575965947
239	0.1575912588
240	0.1575858459
241	0.1575764808
242	0.1575683686
243	0.157557688
244	0.1575518444
245	0.1575443236
246	0.157535398
247	0.1575255991
248	0.1575175667
249	0.1575095407
250	0.157503974
251	0.157494213
252	0.1574880634
253	0.1574792896
254	0.1574697688
255	0.1574635311
256	0.1574560337
257	0.1574481329
258	0.157428998
259	0.1574216028
260	0.1574118838
261	0.157403481
262	0.1573998128
263	0.1573935752
264	0.1573884086
265	0.1573807829
266	0.157374672
267	0.1573685013
268	0.1573621931
269	0.1573587601
270	0.1573509487
271	0.1573412001
272	0.1573331635
273	0.1573252646
274	0.1573154581
275	0.1573059532
276	0.1573000627
277	0.1572898032
278	0.1572862442
279	0.1572797948
280	0.1572744974
281	0.1572646688
282	0.1572578271
283	0.1572507614
284	0.157244525
285	0.1572385057
286	0.1572302355
287	0.1572227321
288	0.1572129765
289	0.1571936741
290	0.1571852752
291	0.157176901
292	0.1571717338
293	0.1571656452
294	0.157157724
295	0.1571537476
296	0.157143985
297	0.1571364141
298	0.1571313683
299	0.15712426
300	0.1571125839
301	0.1571078746
302	0.1571026994
303	0.1570941397
304	0.1570877993
305	0.1570800352
306	0.1570693406
307	0.1570651835
308	0.1570582172
309	0.1570490597
310	0.157045518
311	0.1570380111
312	0.1570227718
313	0.1570120521
314	0.1570072736
315	0.1569992905
316	0.1569877477
317	0.1569827197
318	0.156976965
319	0.1569684404
320	0.156959545
321	0.1569538016
322	0.1569510183
323	0.1569474131
324	0.1569388778
325	0.1569339728
326	0.1569257225
327	0.1569202854
328	0.156914094
329	0.1569051799
330	0.1568987142
331	0.1568884608
332	0.1568814757
333	0.1568748539
334	0.1568661261
335	0.1568596761
336	0.1568528443
337	0.1568488918
338	0.1568393304
339	0.156835326
340	0.1568241586
341	0.1568173559
342	0.1568077678
343	0.1567976143
344	0.1567892272
345	0.1567841311
346	0.1567786391
347	0.1567690534
348	0.1567565836
349	0.1567491597
350	0.15674184
351	0.1567361549
352	0.1567284366
353	0.156718496
354	0.1567137503
355	0.1567084065
356	0.1566995148
357	0.1566891815
358	0.156683452
359	0.1566794332
360	0.156669805
361	0.156660559
362	0.1566541871
363	0.1566428518
364	0.1566386694
365	0.156630261
366	0.1566249963
367	0.1566107183
368	0.1566044173
369	0.1565935496
370	0.1565836506
371	0.1565796373
372	0.1565734167
373	0.1565629526
374	0.15655502
375	0.1565474057
376	0.156542114
377	0.1565356381
378	0.1565290214
379	0.1565097149
380	0.1565032091
381	0.1564932741
382	0.156485258
383	0.1564813377
384	0.15647331
385	0.1564686977
386	0.1564638143
387	0.156456986
388	0.1564515093
389	0.1564436401
390	0.156435526
391	0.1564284826
392	0.1564209037
393	0.1564073823
394	0.1563930389
395	0.1563783189
396	0.1563721985
397	0.1563661163
398	0.1563554712
399	0.1563386114
400	0.1563304005
401	0.1563220446
402	0.1563141484
403	0.1563079949
404	0.1563013509
405	0.1562947098
406	0.1562853623
407	0.1562792723
408	0.1562709873
409	0.1562641333
410	0.156256029
411	0.1562530006
412	0.1562475922
413	0.1562430591
414	0.156236777
415	0.1562293874
416	0.1562211469
417	0.1562012684
418	0.1561910677
419	0.156186388
420	0.156176143
421	0.1561694968
422	0.1561643785
423	0.1561605985
424	0.1561560655
425	0.1561502498
426	0.156143763
427	0.1561384115
428	0.156132559
429	0.1561263529
430	0.1561216532
431	0.1561125734
432	0.1561033972
433	0.1560970821
434	0.1560913543
435	0.1560865933
436	0.1560774415
437	0.1560698277
438	0.156065755
439	0.1560577632
440	0.1560502225
441	0.1560463682
442	0.1560395315
443	0.1560285967
444	0.156019856
445	0.1560074598
446	0.1560011444
447	0.1559932179
448	0.1559835432
449	0.1559766138
450	0.1559695358
451	0.1559619051
452	0.1559523872
453	0.1559468319
454	0.1559428408
455	0.1559337052
456	0.1559266488
457	0.1559198588
458	0.155914696
459	0.155910651
460	0.1559056581
461	0.1558962339
462	0.1558907514
463	0.1558840545
464	0.1558789141
465	0.1558719393
466	0.155865619
467	0.1558567954
468	0.1558503518
469	0.1558463027
470	0.155842315
471	0.1558363169
472	0.155832495
473	0.1558256768
474	0.1558198321
475	0.1558149265
476	0.1558082517
477	0.155799199
478	0.155793091
479	0.1557880962
480	0.1557782114
481	0.1557729124
482	0.1557676888
483	0.1557598446
484	0.1557520674
485	0.1557443376
486	0.1557388602
487	0.1557363726
488	0.1557331631
489	0.1557274029
490	0.1557234378
491	0.155716672
492	0.1557056092
493	0.1556939524
494	0.1556835496
495	0.1556747456
496	0.1556681177
497	0.1556630532
498	0.1556573207
499	0.1556530039
