iter	Passed	Remaining
0	5	2696
1	10	2574
2	15	2522
3	20	2504
4	25	2491
5	30	2495
6	35	2515
7	40	2509
8	45	2497
9	51	2499
10	56	2495
11	60	2477
12	66	2477
13	70	2456
14	75	2433
15	80	2422
16	84	2408
17	89	2393
18	94	2392
19	98	2369
20	103	2353
21	107	2332
22	111	2317
23	116	2304
24	120	2293
25	125	2284
26	129	2275
27	134	2264
28	138	2255
29	143	2251
30	147	2238
31	152	2234
32	157	2224
33	161	2215
34	166	2205
35	170	2195
36	174	2185
37	179	2176
38	183	2167
39	188	2163
40	192	2156
41	197	2151
42	201	2146
43	206	2138
44	210	2130
45	215	2123
46	219	2120
47	224	2114
48	228	2104
49	233	2098
50	237	2094
51	242	2087
52	246	2082
53	251	2081
54	256	2074
55	261	2069
56	265	2063
57	269	2056
58	274	2051
59	279	2046
60	283	2041
61	288	2035
62	292	2027
63	296	2019
64	300	2013
65	305	2007
66	309	2001
67	313	1994
68	318	1988
69	322	1983
70	327	1976
71	331	1971
72	336	1966
73	340	1960
74	344	1953
75	349	1949
76	354	1945
77	358	1940
78	363	1935
79	367	1930
80	371	1924
81	376	1919
82	381	1915
83	385	1908
84	389	1901
85	393	1896
86	398	1891
87	403	1886
88	407	1883
89	412	1878
90	416	1873
91	421	1867
92	425	1860
93	429	1854
94	433	1849
95	438	1844
96	443	1840
97	447	1835
98	451	1829
99	456	1825
100	461	1822
101	465	1816
102	470	1811
103	475	1809
104	480	1806
105	484	1802
106	489	1797
107	493	1792
108	498	1789
109	504	1787
110	509	1784
111	513	1780
112	518	1776
113	523	1772
114	527	1767
115	532	1762
116	537	1759
117	542	1755
118	546	1749
119	551	1745
120	555	1741
121	560	1735
122	564	1731
123	569	1726
124	573	1721
125	578	1716
126	583	1712
127	587	1706
128	591	1701
129	596	1696
130	600	1692
131	605	1688
132	610	1684
133	614	1678
134	618	1673
135	623	1668
136	627	1663
137	632	1658
138	636	1653
139	640	1648
140	645	1644
141	650	1639
142	655	1635
143	660	1632
144	664	1627
145	669	1623
146	674	1619
147	679	1615
148	684	1611
149	689	1608
150	693	1603
151	698	1599
152	703	1595
153	708	1591
154	713	1587
155	717	1582
156	722	1578
157	726	1573
158	731	1568
159	736	1564
160	741	1560
161	745	1556
162	750	1551
163	755	1547
164	760	1543
165	765	1540
166	770	1537
167	775	1532
168	780	1528
169	784	1523
170	789	1519
171	794	1514
172	799	1510
173	803	1505
174	808	1501
175	812	1496
176	818	1493
177	823	1489
178	828	1485
179	832	1480
180	837	1476
181	842	1471
182	846	1466
183	851	1462
184	856	1457
185	860	1452
186	864	1447
187	869	1442
188	873	1438
189	878	1433
190	882	1428
191	887	1423
192	891	1417
193	895	1412
194	899	1407
195	903	1401
196	908	1397
197	912	1391
198	917	1387
199	921	1382
